"","episodeId","Totale_death","Sum_Noble","Popularity_Index","Profil","episodeTitle"
"59",59,27.205298013245,29.0322580645161,52.2408980878814,3,"Battle of the Bastards"
"60",60,27.3907284768212,100,56.8746759856261,1,"The Winds of Winter"
"61",61,15.7615894039735,51.6129032258064,53.5145399920639,4,"Dragonstone"
"62",62,13.4039735099338,54.8387096774194,51.6538990172429,4,"Stormborn"
"63",63,14.4635761589404,54.8387096774194,62.7081402573213,2,"The Queen's Justice"
"64",64,24.9006622516556,51.6129032258064,66.8174359567567,2,"The Spoils of War"
"65",65,16.6622516556291,80.6451612903226,62.7678512541007,1,"Eastwatch"
"66",66,41.1920529801325,61.2903225806452,55.1151166873002,6,"Beyond the Wall"
"67",67,77.3509933774834,70.9677419354839,67.5880353054705,7,"The Dragon and the Wolf"
"68",68,37.112582781457,61.2903225806452,60.405575174908,6,"Winterfell"
"69",69,47.5496688741722,41.9354838709677,61.3404083238255,6,"A Knight of the Seven Kingdoms"
"70",70,50.3576158940397,38.7096774193548,54.7761709864199,6,"The Long Night"
"71",71,100,61.2903225806452,63.3215456495497,7,"The Last of the Starks"
"72",72,23.9470198675497,32.258064516129,71.8228168628524,2,"The Bells"
"73",73,40.3708609271523,54.8387096774194,56.630108466568,6,"The Iron Throne"
